idplanmed,idestcub,idfustemed,plantio,numarv,datamedicao,dap,ht,seq,hi,dicc1,dicc2,espcasca
1,1,27,1,921,2003-10-15,"19,5",25,7,8,"14,8","14,8","0,4"
1,1,27,1,921,2003-10-15,"19,5",25,8,10,"13,5","13,5","0,3"
1,1,27,1,921,2003-10-15,"19,5",25,9,12,12,12,"0,3"
1,1,27,1,921,2003-10-15,"19,5",25,10,14,"10,6","10,6","0,3"
1,1,27,1,921,2003-10-15,"19,5",25,11,16,"9,5","9,5","0,3"
1,1,27,1,921,2003-10-15,"19,5",25,12,18,8,8,"0,2"
1,1,27,1,921,2003-10-15,"19,5",25,13,20,6,6,"0,2"
1,1,27,1,921,2003-10-15,"19,5",25,14,22,"3,2","3,2","0,1"
1,1,29,1,986,2004-12-10,"7,8","13,9",1,"0,1","10,4","10,4","0,7"
1,1,29,1,986,2004-12-10,"7,8","13,9",2,"0,7","8,2","8,2","0,3"
1,1,29,1,986,2004-12-10,"7,8","13,9",3,"1,3","7,8","7,8","0,3"
1,1,29,1,986,2004-12-10,"7,8","13,9",4,2,"7,5","7,5","0,2"
1,1,29,1,986,2004-12-10,"7,8","13,9",5,4,"6,7","6,7","0,2"
1,1,29,1,986,2004-12-10,"7,8","13,9",6,6,"5,8","5,8","0,2"
1,1,29,1,986,2004-12-10,"7,8","13,9",7,8,"4,7","4,7","0,1"
1,1,29,1,986,2004-12-10,"7,8","13,9",8,10,"3,3","3,3","0,1"
1,1,29,1,986,2004-12-10,"7,8","13,9",9,12,"2,2","2,2","0,1"
1,1,32,1,990,2004-12-10,"15,4","24,2",1,"0,1","18,9","18,9","0,9"
1,1,32,1,990,2004-12-10,"15,4","24,2",2,"0,7","16,4","16,4","0,4"
1,1,32,1,990,2004-12-10,"15,4","24,2",3,"1,3","15,4","15,4","0,4"
1,1,32,1,990,2004-12-10,"15,4","24,2",4,2,"14,9","14,9","0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",5,4,"13,7","13,7","0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",6,6,"13,1","13,1","0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",7,8,"11,8","11,8","0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",8,10,11,11,"0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",9,12,10,10,"0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",10,14,"8,7","8,7","0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",11,16,8,8,"0,3"
1,1,32,1,990,2004-12-10,"15,4","24,2",12,18,"6,2","6,2","0,2"
